"id","date","prcp","snwd","tavg","tmax","tmin","tobs","wesd","dapr","mdpr","snow","wesf","elevationMeter","latitude","name","datacoverage","GHCND_id","longitude","mountain"
"USS0021D08S",2016-03-02,0,2413,19,66,-28,28,9957,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-03,76,2413,17,53,-5,21,9957,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-04,0,2388,47,72,13,56,9906,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-05,127,2311,38,57,21,31,9804,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-06,152,2413,-5,30,-16,-15,9677,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-07,76,2464,-20,8,-34,-30,9754,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-08,102,2540,-23,-7,-50,-10,9881,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-09,203,2565,9,37,-11,33,10058,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-10,76,2515,5,35,-14,1,9982,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-11,25,2489,21,40,2,20,9982,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-12,127,2540,-13,20,-31,-27,10058,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-13,406,2870,-17,9,-33,-33,10465,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-14,533,3175,-34,-21,-45,-40,10998,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-15,406,3353,-21,-1,-40,-2,11405,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-16,76,3226,0,23,-40,-36,11481,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-17,0,3150,-18,19,-48,-13,11506,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-18,0,3099,11,53,-30,42,11506,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-19,0,2997,56,90,28,68,11481,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-20,102,2845,37,71,4,5,11557,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-21,76,2870,2,27,-17,-17,11532,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-22,203,2972,-9,12,-23,-14,11709,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-23,102,2997,0,23,-20,12,11836,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-24,127,3048,-17,12,-32,-22,12040,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-25,127,3048,-15,13,-32,-28,12192,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
